"week","state_name","n","year","month_year","quarter","month","mean","std","trump_mean","clinton_mean","mean_diff","candidate","right_1_total","right_1_ratio","left_1_total","left_1_ratio","right_2std_total","right_2std_ratio","left_2std_total","left_2std_ratio","right_5_total","right_5_ratio","left_5_total","left_5_ratio","right_10_total","right_10_ratio","left_10_total","left_10_ratio","population","crime_rate","extreme_1_ratio","extreme_2std_ratio","extreme_5_ratio","extreme_10_ratio","extreme_1_total","extreme_2std_total","extreme_5_total","extreme_10_total","mean_diff_last","mean_diff_last2"
1,"Arizona",6,2015,5,2,113,0.271261281397144,0.52742873546689,0.507055497067144,-0.403623790870582,0.910679287937725,"Trump",11733,0.0697587309892148,835,0.00496450527367207,12721,0.075632900103452,226,0.00134368645730525,17015,0.101162942792252,2546,0.0151372819482265,33919,0.201665933386447,5244,0.0311782822217202,6833596,8.78015030446635e-07,0.0747232362628869,0.0769765865607572,0.116300224740478,0.232844215608167,12568,12947,19561,39163,0.910679287937725,0.910679287937725
2,"Arizona",11,2015,5,2,113,0.262017594124871,0.531029829751617,0.507938429645244,-0.406217809466838,0.914156239112081,"Trump",11861,0.0698490657150092,835,0.0049172894251777,13557,0.0798367577690228,243,0.00143101955726728,18169,0.106996684510244,2653,0.0156234357425107,35450,0.208763964218622,5601,0.0329841174496051,6833596,1.6096942224855e-06,0.0747663551401869,0.0812677773262901,0.122620120252755,0.241748081668227,12696,13800,20822,41051,0.910679287937725,0.914156239112081
3,"Arizona",11,2015,5,2,113,0.262287554413249,0.529051502290911,0.533938939304523,-0.385639486661687,0.91957842596621,"Trump",11352,0.0663122845960629,773,0.00451545066884748,13324,0.0778316490449208,221,0.0012909632571996,18309,0.10695134061569,2608,0.0152345347274958,36071,0.210707401133244,5648,0.0329925813423681,6833596,1.6096942224855e-06,0.0708277352649103,0.0791226123021204,0.122185875343186,0.243699982475612,12125,13545,20917,41719,0.914156239112081,0.910679287937725
4,"Arizona",6,2015,5,2,113,0.270142298599099,0.533694873746889,0.535502357488806,-0.396040927615531,0.931543285104337,"Trump",12184,0.0710955506929249,789,0.00460393873085339,13229,0.0771932895696572,251,0.00146462436177972,18805,0.109730123997082,2659,0.0155156819839533,36702,0.214161925601751,5691,0.0332078774617068,6833596,8.78015030446635e-07,0.0756994894237783,0.0786579139314369,0.125245805981036,0.247369803063457,12973,13480,21464,42393,0.91957842596621,0.914156239112081
5,"Arizona",2,2015,6,2,114,0.25462025090099,0.548116096097465,0.550756843924083,-0.406745616964438,0.95750246088852,"Trump",11806,0.0676980595440158,687,0.00393940088994908,13391,0.0767867792100555,185,0.00106082847837057,18526,0.106231937244828,2994,0.0171682187256296,36497,0.209281389054544,5743,0.0329315564934171,6833596,2.92671676815545e-07,0.0716374604339649,0.0778476076884261,0.123400155970457,0.242212945547961,12493,13576,21520,42240,0.931543285104337,0.91957842596621
6,"Arizona",5,2015,6,2,114,0.267133793668818,0.556674451303349,0.565494743788907,-0.413503399699382,0.978998143488288,"Trump",12286,0.0731980505939969,784,0.00467094836933856,11973,0.0713332459516462,175,0.00104262240387021,17708,0.10550147158705,2904,0.0173015740619377,34524,0.205688547835516,5382,0.03206510730074,6833596,7.31679192038862e-07,0.0778689989633354,0.0723758683555164,0.122803045648988,0.237753655136256,13070,12148,20612,39906,0.95750246088852,0.931543285104337
7,"Arizona",10,2015,6,2,114,0.283829611686768,0.561585185277565,0.585526318185829,-0.416669657262538,1.00219597544837,"Trump",13921,0.0771875155944176,998,0.00553359245479698,12437,0.0689592077758618,225,0.00124755340914762,18804,0.10426219691383,3041,0.0168613774098573,36974,0.205009065554773,5656,0.0313607203650619,6833596,1.46335838407772e-06,0.0827211080492146,0.0702067611850094,0.121123574323687,0.236369785919835,14919,12662,21845,42630,0.978998143488288,0.95750246088852
8,"Arizona",3,2015,6,2,114,0.298319011576641,0.558797849996616,0.582419566435738,-0.422678271489046,1.00509783792478,"Trump",14314,0.0772327016877455,1051,0.005670781715371,11668,0.0629559286916735,176,0.000949626624077351,19181,0.103493115206975,2848,0.0153666853714335,36676,0.197889239003755,5459,0.0294546121638538,6833596,4.39007515223317e-07,0.0829034834031165,0.0639055553157509,0.118859800578409,0.227343851167609,15365,11844,22029,42135,1.00219597544837,0.978998143488288
9,"Arizona",6,2015,6,2,114,0.314341325208241,0.54192280864247,0.566042823164472,-0.422606410498591,0.988649233663062,"Trump",13429,0.0716576398708679,1122,0.00598703343027134,10079,0.0537819161708599,230,0.00122728849283637,19074,0.101779568314613,2770,0.0147808222832902,36755,0.196126037192177,5460,0.0291347616125504,6833596,8.78015030446635e-07,0.0776446733011392,0.0550092046636963,0.116560390597903,0.225260798804728,14551,10309,21844,42215,1.00509783792478,1.00219597544837
10,"Arizona",4,2015,7,3,115,0.301678780359892,0.535812132854795,0.555071612800311,-0.416938769026882,0.972010381827193,"Trump",12222,0.0657443168981506,1155,0.00621295090961905,9612,0.0517046615958946,247,0.00132865703435143,17858,0.0960613656657809,2896,0.0155781002893998,34729,0.186813482372433,5362,0.0288431539198072,6833596,5.8534335363109e-07,0.0719572678077697,0.053033318630246,0.111639465955181,0.21565663629224,13377,9859,20754,40091,0.988649233663062,1.00509783792478
11,"Arizona",2,2015,7,3,115,0.297068932557386,0.539195766565048,0.549682512058053,-0.432513337729285,0.982195849787338,"Trump",12606,0.0678420355839711,922,0.00496195119851034,10103,0.0543715758769522,202,0.00108710861399033,18123,0.0975330168878556,2885,0.0155262789671392,35545,0.191293443981616,5542,0.0298255244491804,6833596,2.92671676815545e-07,0.0728039867824814,0.0554586844909426,0.113059295854995,0.221118968430796,13528,10305,21008,41087,0.972010381827193,0.988649233663062
12,"Arizona",3,2015,7,3,115,0.287959058255448,0.534613547566221,0.5455319643278,-0.420837750772431,0.966369715100232,"Trump",12027,0.0668467477031331,873,0.00485218348256716,11147,0.0619556578237985,179,0.000994892145910104,17560,0.0975994753194493,2826,0.0157070681806813,35080,0.194976628371656,5359,0.0297856257538114,6833596,4.39007515223317e-07,0.0716989311857002,0.0629505499697086,0.113306543500131,0.224762254125468,12900,11326,20386,40439,0.982195849787338,0.972010381827193
13,"Arizona",5,2015,7,3,115,0.284249499572171,0.556621695862623,0.573070665198572,-0.426380678273722,0.999451343472294,"Trump",14518,0.0790125338108118,1032,0.00561654049405964,13135,0.071485716462668,172,0.000936090082343273,18874,0.102719559384575,2938,0.015989724778631,37242,0.202685272364117,5572,0.0303249647605623,6833596,7.31679192038862e-07,0.0846290743048715,0.0724218065450112,0.118709284163206,0.23301023712468,15550,13307,21812,42814,0.966369715100232,0.982195849787338
14,"Arizona",7,2015,8,3,116,0.294394845507319,0.567052888534732,0.588910273670744,-0.428729406489159,1.0176396801599,"Trump",16107,0.0881396926848488,1015,0.00555421792233945,13296,0.0727575187147047,173,0.000946679507945541,19417,0.106252462461148,2862,0.015661252900232,37673,0.206151775160881,5512,0.0301624129930394,6833596,1.02435086885441e-06,0.0936939106071882,0.0737041982226503,0.12191371536138,0.23631418815392,17122,13469,22279,43185,0.999451343472294,0.966369715100232
15,"Arizona",6,2015,8,3,116,0.306502624373797,0.56125663013985,0.591221762698952,-0.421417140250662,1.01263890294961,"Trump",15822,0.0857886460987909,1102,0.00597516672992463,11922,0.0646424117551374,161,0.000872959930596974,19130,0.103724990511305,2943,0.0159572737624031,37884,0.205411267147427,5461,0.029610150192485,6833596,8.78015030446635e-07,0.0917638128287155,0.0655153716857344,0.119682264273708,0.235021417339912,16924,12083,22073,43345,1.0176396801599,0.999451343472294
16,"Arizona",2,2015,8,3,116,0.321533413247985,0.574150910228927,0.615415828935293,-0.426083361563669,1.04149919049896,"Trump",19148,0.102147726909002,1024,0.00546267350923427,13520,0.0721243611766087,115,0.000613483841369083,20793,0.110923213161629,2975,0.0158705602441132,39552,0.210995764294173,5475,0.0292071654912672,6833596,2.92671676815545e-07,0.107610400418236,0.0727378450179777,0.126793773405742,0.240202929785441,20172,13635,23768,45027,1.01263890294961,1.0176396801599
17,"Arizona",5,2015,8,3,116,0.330817040082929,0.56933385549564,0.61895007459429,-0.41327713214052,1.03222720673481,"Trump",19253,0.102438998435721,1058,0.0056292764943122,13540,0.0720419695018782,148,0.000787460227937812,21092,0.11222372383557,3013,0.0160312004511934,39865,0.212108797207709,5539,0.0294712310982942,6833596,7.31679192038862e-07,0.108068274930033,0.072829429729816,0.128254924286763,0.241580028306003,20311,13688,24105,45404,1.04149919049896,1.01263890294961
